CUSEC;PROV;DIST;SECC_CEN;AHCIEM;C.P.CI;P.P.;P.S.O.E.;PIC CIEMPOZ;UPyD;%AHCIEM;%C.P.CI;%P.P.;%P.S.O.E.;%PIC CIEMPOZ;%UPyD
2804002005;28;2;5;265;171;247;182;113;21;26.527;17.117;24.725;18.218;11.311;2.102
2804002006;28;2;6;288;136;188;196;88;20;31.441;14.847;20.524;21.397;9.607;2.183
2804003001;28;3;1;284;113;127;136;75;30;37.124;14.771;16.601;17.778;9.804;3.922
2804003002;28;3;2;332;148;196;234;73;27;32.871;14.653;19.406;23.168;7.228;2.673
2804001001;28;1;1;69;50;85;74;42;6;21.166;15.337;26.074;22.699;12.883;1.84
2804001002;28;1;2;164;80;144;135;76;8;27.018;13.18;23.723;22.241;12.521;1.318
2804001003;28;1;3;246;84;140;132;76;17;35.396;12.086;20.144;18.993;10.935;2.446
2804002001;28;2;1;275;179;218;286;107;13;25.51;16.605;20.223;26.531;9.926;1.206
2804002002;28;2;2;139;75;108;102;75;13;27.148;14.648;21.094;19.922;14.648;2.539
2804002003;28;2;3;341;182;230;261;116;19;29.678;15.84;20.017;22.715;10.096;1.654
2804002004;28;2;4;320;169;209;225;119;23;30.047;15.869;19.624;21.127;11.174;2.16
