CUSEC;PROV;DIST;SECC_CEN;C's;G COLMENAR;LEM;P.P.;P.S.O.E.;UPyD;VOX;%C's;%G COLMENAR;%LEM;%P.P.;%P.S.O.E.;%UPyD;%VOX
2804501003;28;1;3;76;166;2;231;152;28;2;11.568;25.266;0.304;35.16;23.135;4.262;0.304
2804501004;28;1;4;66;182;3;306;241;74;6;7.517;20.729;0.342;34.852;27.449;8.428;0.683
2804501005;28;1;5;72;138;4;234;166;36;12;10.876;20.846;0.604;35.347;25.076;5.438;1.813
2804501006;28;1;6;118;208;1;385;191;40;8;12.408;21.872;0.105;40.484;20.084;4.206;0.841
2804501007;28;1;7;49;126;3;304;106;30;4;7.878;20.257;0.482;48.875;17.042;4.823;0.643
2804501008;28;1;8;143;246;4;467;164;56;13;13.083;22.507;0.366;42.726;15.005;5.124;1.189
2804501009;28;1;9;53;145;2;181;143;25;5;9.567;26.173;0.361;32.671;25.812;4.513;0.903
2804501010;28;1;10;60;181;2;228;151;44;9;8.889;26.815;0.296;33.778;22.37;6.519;1.333
2804501011;28;1;11;62;188;1;324;90;51;2;8.635;26.184;0.139;45.125;12.535;7.103;0.279
2804501012;28;1;12;123;312;2;526;163;74;19;10.09;25.595;0.164;43.15;13.372;6.071;1.559
2804501013;28;1;13;170;272;8;473;197;55;18;14.25;22.8;0.671;39.648;16.513;4.61;1.509
2804501014;28;1;14;49;125;6;290;149;39;5;7.391;18.854;0.905;43.741;22.474;5.882;0.754
2804501015;28;1;15;73;160;2;276;93;51;9;10.994;24.096;0.301;41.566;14.006;7.681;1.355
2804501016;28;1;16;109;123;6;406;125;27;10;13.524;15.261;0.744;50.372;15.509;3.35;1.241
2804501017;28;1;17;146;258;6;415;186;44;5;13.774;24.34;0.566;39.151;17.547;4.151;0.472
2804501001;28;1;1;131;299;5;352;177;36;10;12.97;29.604;0.495;34.851;17.525;3.564;0.99
2804501002;28;1;2;134;301;4;317;202;55;13;13.06;29.337;0.39;30.897;19.688;5.361;1.267
2804501018;28;1;18;120;319;1;324;100;53;8;12.973;34.486;0.108;35.027;10.811;5.73;0.865
2804501019;28;1;19;90;208;5;302;87;46;7;12.081;27.919;0.671;40.537;11.678;6.174;0.94
2804501020;28;1;20;174;340;1;406;150;59;10;15.263;29.825;0.088;35.614;13.158;5.175;0.877
2804501021;28;1;21;242;290;2;647;150;79;23;16.888;20.237;0.14;45.15;10.468;5.513;1.605
2804501022;28;1;22;84;173;1;281;69;34;7;12.943;26.656;0.154;43.297;10.632;5.239;1.079
2804501023;28;1;23;173;238;1;390;100;54;29;17.563;24.162;0.102;39.594;10.152;5.482;2.944
2804501024;28;1;24;204;302;2;325;132;44;10;20.02;29.637;0.196;31.894;12.954;4.318;0.981
