CUSEC;PROV;DIST;SECC_CEN;C's;CMj;IUCM-LV;P.P.;P.S.O.E.;SMAJ;UPyD;VOX;%C's;%CMj;%IUCM-LV;%P.P.;%P.S.O.E.;%SMAJ;%UPyD;%VOX
2808001005;28;1;5;99;30;42;167;141;75;22;25;16.473;4.992;6.988;27.787;23.461;12.479;3.661;4.16
2808001006;28;1;6;72;12;47;131;131;64;16;3;15.126;2.521;9.874;27.521;27.521;13.445;3.361;0.63
2808001001;28;1;1;113;23;81;187;105;93;28;17;17.465;3.555;12.519;28.903;16.229;14.374;4.328;2.628
2808001002;28;1;2;106;23;18;256;33;49;17;21;20.268;4.398;3.442;48.948;6.31;9.369;3.25;4.015
2808001003;28;1;3;80;28;50;201;160;99;15;15;12.346;4.321;7.716;31.019;24.691;15.278;2.315;2.315
2808001004;28;1;4;115;26;47;173;130;62;23;10;19.625;4.437;8.02;29.522;22.184;10.58;3.925;1.706
2808001007;28;1;7;191;60;56;400;73;53;27;43;21.152;6.645;6.202;44.297;8.084;5.869;2.99;4.762
2808001008;28;1;8;136;21;61;210;134;113;33;25;18.554;2.865;8.322;28.649;18.281;15.416;4.502;3.411
2808001009;28;1;9;257;75;122;391;169;185;27;40;20.3;5.924;9.637;30.885;13.349;14.613;2.133;3.16
2808001010;28;1;10;114;23;58;153;135;96;16;13;18.75;3.783;9.539;25.164;22.204;15.789;2.632;2.138
2808001011;28;1;11;178;52;61;298;91;120;34;34;20.507;5.991;7.028;34.332;10.484;13.825;3.917;3.917
2808001012;28;1;12;168;64;61;229;119;103;39;34;20.563;7.834;7.466;28.029;14.565;12.607;4.774;4.162
2808002022;28;2;22;253;40;22;717;58;64;22;46;20.704;3.273;1.8;58.674;4.746;5.237;1.8;3.764
2808002023;28;2;23;126;22;36;257;66;44;14;14;21.762;3.8;6.218;44.387;11.399;7.599;2.418;2.418
2808002024;28;2;24;187;67;40;435;76;42;26;34;20.617;7.387;4.41;47.96;8.379;4.631;2.867;3.749
2808002025;28;2;25;237;34;20;461;62;36;22;32;26.217;3.761;2.212;50.996;6.858;3.982;2.434;3.54
2808002026;28;2;26;149;25;42;275;82;68;28;21;21.594;3.623;6.087;39.855;11.884;9.855;4.058;3.043
2808002027;28;2;27;288;43;45;459;104;103;26;35;26.111;3.898;4.08;41.614;9.429;9.338;2.357;3.173
2808001013;28;1;13;169;41;52;277;61;67;18;29;23.669;5.742;7.283;38.796;8.543;9.384;2.521;4.062
2808001014;28;1;14;232;48;43;380;102;84;33;33;24.293;5.026;4.503;39.791;10.681;8.796;3.455;3.455
2808001015;28;1;15;97;22;14;281;34;49;29;27;17.541;3.978;2.532;50.814;6.148;8.861;5.244;4.882
2808001016;28;1;16;318;57;44;593;98;78;23;34;25.542;4.578;3.534;47.631;7.871;6.265;1.847;2.731
2808001017;28;1;17;126;19;32;246;48;64;24;16;21.913;3.304;5.565;42.783;8.348;11.13;4.174;2.783
2808002001;28;2;1;161;71;52;388;117;120;34;41;16.362;7.215;5.285;39.431;11.89;12.195;3.455;4.167
2808002002;28;2;2;215;57;44;351;64;90;27;37;24.294;6.441;4.972;39.661;7.232;10.169;3.051;4.181
2808002003;28;2;3;84;23;30;154;136;93;9;11;15.556;4.259;5.556;28.519;25.185;17.222;1.667;2.037
2808002004;28;2;4;186;49;62;396;67;84;27;32;20.598;5.426;6.866;43.854;7.42;9.302;2.99;3.544
2808002005;28;2;5;311;67;52;557;118;126;53;46;23.383;5.038;3.91;41.88;8.872;9.474;3.985;3.459
2808002006;28;2;6;79;15;42;154;102;83;22;8;15.644;2.97;8.317;30.495;20.198;16.436;4.356;1.584
2808002007;28;2;7;137;31;62;198;58;110;25;27;21.142;4.784;9.568;30.556;8.951;16.975;3.858;4.167
2808002008;28;2;8;177;37;29;315;79;41;20;18;24.721;5.168;4.05;43.994;11.034;5.726;2.793;2.514
2808002009;28;2;9;158;62;49;272;90;105;28;19;20.179;7.918;6.258;34.738;11.494;13.41;3.576;2.427
2808002010;28;2;10;172;61;59;371;95;109;63;32;17.879;6.341;6.133;38.565;9.875;11.331;6.549;3.326
2808002011;28;2;11;142;33;36;212;83;85;14;18;22.793;5.297;5.778;34.029;13.323;13.644;2.247;2.889
2808002012;28;2;12;116;25;46;193;99;48;21;15;20.604;4.44;8.171;34.281;17.584;8.526;3.73;2.664
2808002013;28;2;13;183;53;50;287;111;94;47;39;21.181;6.134;5.787;33.218;12.847;10.88;5.44;4.514
2808002014;28;2;14;125;41;48;291;62;75;18;27;18.195;5.968;6.987;42.358;9.025;10.917;2.62;3.93
2808002015;28;2;15;80;17;21;274;45;33;36;59;14.159;3.009;3.717;48.496;7.965;5.841;6.372;10.442
2808002016;28;2;16;102;39;66;145;66;93;28;33;17.832;6.818;11.538;25.35;11.538;16.259;4.895;5.769
2808002017;28;2;17;130;21;36;223;67;67;30;24;21.739;3.512;6.02;37.291;11.204;11.204;5.017;4.013
2808002018;28;2;18;124;178;16;416;44;68;27;22;13.855;19.888;1.788;46.48;4.916;7.598;3.017;2.458
2808002019;28;2;19;76;8;30;232;54;45;3;24;16.102;1.695;6.356;49.153;11.441;9.534;0.636;5.085
2808002020;28;2;20;190;30;25;322;64;48;29;25;25.921;4.093;3.411;43.929;8.731;6.548;3.956;3.411
2808002021;28;2;21;177;19;26;312;54;46;9;22;26.617;2.857;3.91;46.917;8.12;6.917;1.353;3.308
