CUSEC;PROV;DIST;SECC_CEN;GM;IU-GANEMOS;Mejoremos;P.P.;P.S.O.E.;UPyD;%GM;%IU-GANEMOS;%Mejoremos;%P.P.;%P.S.O.E.;%UPyD
2808401001;28;1;1;62;101;236;263;409;123;5.193;8.459;19.765;22.027;34.255;10.302
2808401002;28;1;2;57;122;227;248;372;88;5.117;10.952;20.377;22.262;33.393;7.899
2808401003;28;1;3;47;77;140;191;315;110;5.341;8.75;15.909;21.705;35.795;12.5
2808401004;28;1;4;40;131;271;198;336;125;3.633;11.898;24.614;17.984;30.518;11.353
2808401005;28;1;5;30;89;172;171;308;164;3.212;9.529;18.415;18.308;32.976;17.559
2808401006;28;1;6;43;90;162;154;234;78;5.65;11.827;21.288;20.237;30.749;10.25
2808401007;28;1;7;38;72;179;189;183;71;5.191;9.836;24.454;25.82;25.0;9.699
2808401008;28;1;8;31;51;184;199;214;76;4.106;6.755;24.371;26.358;28.344;10.066
2808401009;28;1;9;37;83;208;174;214;186;4.102;9.202;23.06;19.29;23.725;20.621
2808401010;28;1;10;30;46;116;122;163;69;5.495;8.425;21.245;22.344;29.853;12.637
2808401011;28;1;11;21;77;248;279;215;113;2.204;8.08;26.023;29.276;22.56;11.857
