CUSEC;PROV;DIST;SECC_CEN;C's;C.R.D.;CAMBIEMOS N;IUCM - LV-G;P.D.A.P.;P.P.;P.S.O.E.;UPyD;URCi;%C's;%C.R.D.;%CAMBIEMOS N;%IUCM - LV-G;%P.D.A.P.;%P.P.;%P.S.O.E.;%UPyD;%URCi
2809601010;28;1;10;130;2;176;39;15;108;183;51;35;17.591;0.271;23.816;5.277;2.03;14.614;24.763;6.901;4.736
2809601011;28;1;11;80;2;185;36;26;218;245;31;55;9.112;0.228;21.071;4.1;2.961;24.829;27.904;3.531;6.264
2809601012;28;1;12;171;1;210;23;37;126;133;64;13;21.979;0.129;26.992;2.956;4.756;16.195;17.095;8.226;1.671
2809601013;28;1;13;200;0;153;35;24;143;168;52;19;25.189;0.0;19.27;4.408;3.023;18.01;21.159;6.549;2.393
2809601014;28;1;14;144;1;137;16;20;128;143;54;19;21.752;0.151;20.695;2.417;3.021;19.335;21.601;8.157;2.87
2809601001;28;1;1;103;1;114;20;39;143;311;17;70;12.592;0.122;13.936;2.445;4.768;17.482;38.02;2.078;8.557
2809601002;28;1;2;71;2;102;16;87;180;201;9;115;9.068;0.255;13.027;2.043;11.111;22.989;25.67;1.149;14.687
2809601003;28;1;3;112;2;141;21;67;230;254;22;130;11.44;0.204;14.402;2.145;6.844;23.493;25.945;2.247;13.279
2809601004;28;1;4;125;1;219;40;94;291;326;31;107;10.13;0.081;17.747;3.241;7.618;23.582;26.418;2.512;8.671
2809601005;28;1;5;104;4;166;25;72;311;460;35;139;7.903;0.304;12.614;1.9;5.471;23.632;34.954;2.66;10.562
2809601006;28;1;6;29;0;73;9;49;167;208;6;118;4.401;0.0;11.077;1.366;7.436;25.341;31.563;0.91;17.906
2809601007;28;1;7;91;3;96;21;35;180;164;15;53;13.83;0.456;14.59;3.191;5.319;27.356;24.924;2.28;8.055
2809601008;28;1;8;53;0;99;17;46;147;239;11;70;7.771;0.0;14.516;2.493;6.745;21.554;35.044;1.613;10.264
2809601009;28;1;9;126;4;162;32;40;229;280;35;88;12.651;0.402;16.265;3.213;4.016;22.992;28.112;3.514;8.835
