CUSEC;PROV;DIST;SECC_CEN;AVIVA;C's;CDR;IZQUIERDA U;MOVIMIENTO;P.P.;P.S.O.E.;RIVAS PUEDE;UPyD;%AVIVA;%C's;%CDR;%IZQUIERDA U;%MOVIMIENTO;%P.P.;%P.S.O.E.;%RIVAS PUEDE;%UPyD
2812301001;28;1;1;45;68;41;150;2;180;129;146;10;5.837;8.82;5.318;19.455;0.259;23.346;16.732;18.936;1.297
2812301002;28;1;2;10;57;10;234;5;59;137;263;7;1.279;7.289;1.279;29.923;0.639;7.545;17.519;33.632;0.895
2812301003;28;1;3;2;48;14;186;8;46;151;232;6;0.289;6.926;2.02;26.84;1.154;6.638;21.789;33.478;0.866
2812301004;28;1;4;10;91;24;308;7;126;166;319;14;0.939;8.545;2.254;28.92;0.657;11.831;15.587;29.953;1.315
2812301005;28;1;5;9;102;44;166;1;210;139;221;22;0.985;11.16;4.814;18.162;0.109;22.976;15.208;24.179;2.407
2812301006;28;1;6;13;166;57;213;12;305;149;306;18;1.049;13.398;4.6;17.191;0.969;24.617;12.026;24.697;1.453
2812301007;28;1;7;11;72;23;255;22;87;171;305;15;1.145;7.492;2.393;26.535;2.289;9.053;17.794;31.738;1.561
2812301008;28;1;8;15;198;55;344;10;335;200;264;12;1.047;13.817;3.838;24.006;0.698;23.378;13.957;18.423;0.837
2812301009;28;1;9;12;113;36;230;0;128;176;201;14;1.319;12.418;3.956;25.275;0.0;14.066;19.341;22.088;1.538
2812301010;28;1;10;12;58;8;216;4;44;140;244;4;1.644;7.945;1.096;29.589;0.548;6.027;19.178;33.425;0.548
2812301011;28;1;11;9;57;29;175;3;46;93;199;13;1.442;9.135;4.647;28.045;0.481;7.372;14.904;31.891;2.083
2812301012;28;1;12;3;72;85;236;1;217;145;180;16;0.314;7.539;8.901;24.712;0.105;22.723;15.183;18.848;1.675
2812301013;28;1;13;12;158;36;179;5;182;151;261;16;1.2;15.8;3.6;17.9;0.5;18.2;15.1;26.1;1.6
2812301014;28;1;14;11;140;49;210;4;186;131;234;11;1.127;14.344;5.02;21.516;0.41;19.057;13.422;23.975;1.127
2812301015;28;1;15;9;117;27;214;5;130;181;232;15;0.968;12.581;2.903;23.011;0.538;13.978;19.462;24.946;1.613
2812301016;28;1;16;28;165;64;152;1;216;113;220;26;2.843;16.751;6.497;15.431;0.102;21.929;11.472;22.335;2.64
2812301017;28;1;17;16;201;57;238;6;292;183;250;28;1.259;15.814;4.485;18.725;0.472;22.974;14.398;19.67;2.203
2812301018;28;1;18;8;75;22;101;4;136;91;118;11;1.413;13.251;3.887;17.845;0.707;24.028;16.078;20.848;1.943
2812301019;28;1;19;10;210;68;371;6;239;199;346;16;0.683;14.334;4.642;25.324;0.41;16.314;13.584;23.618;1.092
2812301020;28;1;20;8;84;37;204;3;99;93;203;6;1.085;11.398;5.02;27.68;0.407;13.433;12.619;27.544;0.814
2812301021;28;1;21;22;134;49;317;6;160;180;302;18;1.852;11.279;4.125;26.684;0.505;13.468;15.152;25.421;1.515
2812301036;28;1;36;7;191;31;298;10;211;97;183;11;0.674;18.383;2.984;28.681;0.962;20.308;9.336;17.613;1.059
2812301022;28;1;22;22;167;59;383;8;183;160;336;25;1.638;12.435;4.393;28.518;0.596;13.626;11.914;25.019;1.862
2812301023;28;1;23;11;246;47;317;7;213;178;270;37;0.83;18.552;3.544;23.906;0.528;16.063;13.424;20.362;2.79
2812301024;28;1;24;31;90;65;192;4;173;172;166;16;3.41;9.901;7.151;21.122;0.44;19.032;18.922;18.262;1.76
2812301025;28;1;25;17;115;47;234;5;165;102;194;14;1.904;12.878;5.263;26.204;0.56;18.477;11.422;21.725;1.568
2812301026;28;1;26;8;80;29;260;6;64;143;265;10;0.925;9.249;3.353;30.058;0.694;7.399;16.532;30.636;1.156
2812301037;28;1;37;17;257;82;536;3;167;155;481;21;0.989;14.951;4.77;31.181;0.175;9.715;9.017;27.981;1.222
2812301038;28;1;38;12;178;50;500;10;107;93;405;35;0.863;12.806;3.597;35.971;0.719;7.698;6.691;29.137;2.518
2812301039;28;1;39;5;71;20;218;4;66;93;224;8;0.705;10.014;2.821;30.748;0.564;9.309;13.117;31.594;1.128
2812301040;28;1;40;18;185;35;227;2;86;90;236;24;1.993;20.487;3.876;25.138;0.221;9.524;9.967;26.135;2.658
2812301041;28;1;41;9;114;16;207;5;85;70;178;17;1.284;16.262;2.282;29.529;0.713;12.126;9.986;25.392;2.425
2812301027;28;1;27;6;58;10;151;2;65;113;165;9;1.036;10.017;1.727;26.079;0.345;11.226;19.516;28.497;1.554
2812301028;28;1;28;4;63;36;92;1;154;71;109;7;0.745;11.732;6.704;17.132;0.186;28.678;13.222;20.298;1.304
2812301029;28;1;29;18;172;52;302;2;181;125;245;12;1.623;15.509;4.689;27.232;0.18;16.321;11.271;22.092;1.082
2812301030;28;1;30;4;219;42;235;0;259;101;160;24;0.383;20.977;4.023;22.51;0.0;24.808;9.674;15.326;2.299
2812301031;28;1;31;22;107;40;138;0;143;81;105;11;3.4;16.538;6.182;21.329;0.0;22.102;12.519;16.229;1.7
2812301032;28;1;32;8;198;28;230;2;208;132;188;29;0.782;19.355;2.737;22.483;0.196;20.332;12.903;18.377;2.835
2812301033;28;1;33;14;135;65;268;2;196;167;254;23;1.246;12.011;5.783;23.843;0.178;17.438;14.858;22.598;2.046
2812301034;28;1;34;10;244;49;284;3;233;97;144;17;0.925;22.572;4.533;26.272;0.278;21.554;8.973;13.321;1.573
2812301035;28;1;35;7;208;37;217;2;230;104;159;18;0.713;21.181;3.768;22.098;0.204;23.422;10.591;16.191;1.833
