CUSEC;PROV;DIST;SECC_CEN;AES;C's;GSS;II-ISSR;P.P.;P.S.O.E.;PxL - Con l;SI SE PUEDE;UPyD;%AES;%C's;%GSS;%II-ISSR;%P.P.;%P.S.O.E.;%PxL - Con l;%SI SE PUEDE;%UPyD
2813401009;28;1;9;6;52;42;101;183;144;14;68;9;0.969;8.401;6.785;16.317;29.564;23.263;2.262;10.985;1.454
2813401010;28;1;10;3;28;21;47;83;100;4;28;2;0.949;8.861;6.646;14.873;26.266;31.646;1.266;8.861;0.633
2813401011;28;1;11;0;56;34;52;126;134;14;44;9;0.0;11.94;7.249;11.087;26.866;28.571;2.985;9.382;1.919
2813401012;28;1;12;0;88;84;154;255;240;21;74;20;0.0;9.402;8.974;16.453;27.244;25.641;2.244;7.906;2.137
2813401014;28;1;14;5;68;48;93;178;191;26;88;11;0.706;9.605;6.78;13.136;25.141;26.977;3.672;12.429;1.554
2813401015;28;1;15;3;54;58;84;200;205;24;51;8;0.437;7.86;8.443;12.227;29.112;29.84;3.493;7.424;1.164
2813401039;28;1;39;10;132;122;165;263;158;27;123;29;0.972;12.828;11.856;16.035;25.559;15.355;2.624;11.953;2.818
2813401040;28;1;40;0;25;166;179;120;80;8;115;14;0.0;3.536;23.479;25.318;16.973;11.315;1.132;16.266;1.98
2813401041;28;1;41;1;130;128;172;253;128;14;122;37;0.102;13.198;12.995;17.462;25.685;12.995;1.421;12.386;3.756
2813401042;28;1;42;0;111;101;123;207;136;25;72;25;0.0;13.875;12.625;15.375;25.875;17.0;3.125;9.0;3.125
2813401043;28;1;43;2;293;59;20;639;62;16;26;17;0.176;25.838;5.203;1.764;56.349;5.467;1.411;2.293;1.499
2813401017;28;1;17;0;45;36;64;111;128;6;54;6;0.0;10.0;8.0;14.222;24.667;28.444;1.333;12.0;1.333
2813401018;28;1;18;1;96;80;185;237;188;24;94;20;0.108;10.378;8.649;20.0;25.622;20.324;2.595;10.162;2.162
2813401019;28;1;19;4;85;83;162;250;252;28;94;25;0.407;8.647;8.444;16.48;25.432;25.636;2.848;9.563;2.543
2813401020;28;1;20;2;47;62;89;120;87;11;38;11;0.428;10.064;13.276;19.058;25.696;18.63;2.355;8.137;2.355
2813401021;28;1;21;7;41;48;79;110;145;17;59;12;1.351;7.915;9.266;15.251;21.236;27.992;3.282;11.39;2.317
2813401044;28;1;44;8;249;163;215;410;170;26;118;54;0.566;17.622;11.536;15.216;29.016;12.031;1.84;8.351;3.822
2813401045;28;1;45;1;234;148;217;402;203;23;129;38;0.072;16.774;10.609;15.556;28.817;14.552;1.649;9.247;2.724
2813401046;28;1;46;1;131;64;154;155;84;28;83;26;0.138;18.044;8.815;21.212;21.35;11.57;3.857;11.433;3.581
2813401022;28;1;22;0;16;20;66;67;72;16;25;2;0.0;5.634;7.042;23.239;23.592;25.352;5.634;8.803;0.704
2813401023;28;1;23;0;22;38;71;67;88;15;23;9;0.0;6.607;11.411;21.321;20.12;26.426;4.505;6.907;2.703
2813401024;28;1;24;1;37;65;84;97;113;6;41;5;0.223;8.241;14.477;18.708;21.604;25.167;1.336;9.131;1.114
2813401025;28;1;25;5;64;61;168;158;201;21;73;20;0.649;8.301;7.912;21.79;20.493;26.07;2.724;9.468;2.594
2813401047;28;1;47;4;151;69;68;416;87;11;40;28;0.458;17.277;7.895;7.78;47.597;9.954;1.259;4.577;3.204
2813401026;28;1;26;2;64;79;150;178;129;14;76;16;0.282;9.04;11.158;21.186;25.141;18.22;1.977;10.734;2.26
2813401027;28;1;27;0;95;103;218;347;198;20;112;26;0.0;8.49;9.205;19.482;31.01;17.694;1.787;10.009;2.324
2813401028;28;1;28;5;62;63;103;149;151;20;66;14;0.79;9.795;9.953;16.272;23.539;23.855;3.16;10.427;2.212
2813401029;28;1;29;2;73;94;135;258;196;24;108;22;0.219;8.004;10.307;14.803;28.289;21.491;2.632;11.842;2.412
2813401030;28;1;30;0;43;179;183;128;96;3;95;9;0.0;5.842;24.321;24.864;17.391;13.043;0.408;12.908;1.223
2813401031;28;1;31;7;93;103;165;232;102;21;76;26;0.848;11.273;12.485;20.0;28.121;12.364;2.545;9.212;3.152
2813401048;28;1;48;2;172;151;163;246;121;20;66;26;0.207;17.787;15.615;16.856;25.44;12.513;2.068;6.825;2.689
2813401049;28;1;49;1;64;74;174;139;118;12;76;15;0.149;9.51;10.996;25.854;20.654;17.533;1.783;11.293;2.229
2813401050;28;1;50;9;180;139;256;183;120;31;98;36;0.856;17.11;13.213;24.335;17.395;11.407;2.947;9.316;3.422
2813401051;28;1;51;3;156;48;24;256;85;9;38;18;0.471;24.49;7.535;3.768;40.188;13.344;1.413;5.965;2.826
2813401052;28;1;52;4;145;87;149;296;92;10;51;24;0.466;16.9;10.14;17.366;34.499;10.723;1.166;5.944;2.797
2813401053;28;1;53;3;100;97;189;115;85;17;66;26;0.43;14.327;13.897;27.077;16.476;12.178;2.436;9.456;3.725
2813401032;28;1;32;12;175;24;14;553;43;4;16;16;1.4;20.42;2.8;1.634;64.527;5.018;0.467;1.867;1.867
2813401033;28;1;33;1;231;34;17;779;87;14;25;19;0.083;19.138;2.817;1.408;64.54;7.208;1.16;2.071;1.574
2813401034;28;1;34;1;54;59;91;179;65;7;51;26;0.188;10.131;11.069;17.073;33.583;12.195;1.313;9.568;4.878
2813401035;28;1;35;3;132;158;226;463;181;23;102;42;0.226;9.925;11.88;16.992;34.812;13.609;1.729;7.669;3.158
2813401036;28;1;36;9;91;110;185;230;120;22;75;23;1.04;10.52;12.717;21.387;26.59;13.873;2.543;8.671;2.659
2813401037;28;1;37;1;81;73;170;205;117;9;75;15;0.134;10.858;9.786;22.788;27.48;15.684;1.206;10.054;2.011
2813401038;28;1;38;1;135;99;151;324;164;23;82;34;0.099;13.327;9.773;14.906;31.984;16.19;2.27;8.095;3.356
2813401001;28;1;1;2;40;24;68;90;78;18;53;9;0.524;10.471;6.283;17.801;23.56;20.419;4.712;13.874;2.356
2813401002;28;1;2;5;34;27;36;94;126;9;45;7;1.305;8.877;7.05;9.399;24.543;32.898;2.35;11.749;1.828
2813401003;28;1;3;1;49;49;94;133;137;9;41;17;0.189;9.245;9.245;17.736;25.094;25.849;1.698;7.736;3.208
2813401004;28;1;4;4;99;66;127;186;210;20;91;15;0.489;12.103;8.068;15.526;22.738;25.672;2.445;11.125;1.834
2813401005;28;1;5;5;79;72;117;224;176;23;63;17;0.644;10.18;9.278;15.077;28.866;22.68;2.964;8.119;2.191
2813401006;28;1;6;2;81;63;115;191;132;13;65;16;0.295;11.947;9.292;16.962;28.171;19.469;1.917;9.587;2.36
2813401007;28;1;7;3;40;23;69;107;80;8;27;10;0.817;10.899;6.267;18.801;29.155;21.798;2.18;7.357;2.725
2813401008;28;1;8;1;56;51;69;224;114;13;37;18;0.172;9.605;8.748;11.835;38.422;19.554;2.23;6.346;3.087
