CUSEC;PROV;DIST;SECC_CEN;C's;CONFLUENCIA;IUCM-LV;P.P.;P.S.O.E.;UPyD;VOX;VT;%C's;%CONFLUENCIA;%IUCM-LV;%P.P.;%P.S.O.E.;%UPyD;%VOX;%VT
2815201001;28;1;1;43;71;28;276;99;6;10;402;4.599;7.594;2.995;29.519;10.588;0.642;1.07;42.995
2815201002;28;1;2;62;94;48;323;75;16;16;507;5.434;8.238;4.207;28.309;6.573;1.402;1.402;44.435
2815201003;28;1;3;78;51;24;402;73;14;21;649;5.945;3.887;1.829;30.64;5.564;1.067;1.601;49.466
2815201004;28;1;4;56;96;34;240;96;10;11;501;5.364;9.195;3.257;22.989;9.195;0.958;1.054;47.989
2815201005;28;1;5;60;83;30;442;39;5;31;615;4.598;6.36;2.299;33.87;2.989;0.383;2.375;47.126
2815201006;28;1;6;75;52;7;317;34;6;23;707;6.143;4.259;0.573;25.962;2.785;0.491;1.884;57.903
2815201007;28;1;7;65;83;27;276;71;8;13;688;5.28;6.742;2.193;22.421;5.768;0.65;1.056;55.89
2815201008;28;1;8;69;52;14;278;36;10;16;701;5.867;4.422;1.19;23.639;3.061;0.85;1.361;59.609
2815201009;28;1;9;70;55;24;305;54;12;39;693;5.591;4.393;1.917;24.361;4.313;0.958;3.115;55.351
2815201010;28;1;10;32;52;22;206;47;6;15;304;4.678;7.602;3.216;30.117;6.871;0.877;2.193;44.444
