CUSEC;PROV;DIST;SECC_CEN;C's;G3C;P-LIB;P.P.;P.S.O.E.;UPyD;VOX;%C's;%G3C;%P-LIB;%P.P.;%P.S.O.E.;%UPyD;%VOX
2890301017;28;1;17;187;304;3;482;219;83;23;14.374;23.367;0.231;37.048;16.833;6.38;1.768
2890301018;28;1;18;89;294;3;208;122;24;7;11.914;39.357;0.402;27.845;16.332;3.213;0.937
2890301019;28;1;19;115;348;3;398;190;45;15;10.323;31.239;0.269;35.727;17.056;4.039;1.346
2890301020;28;1;20;82;307;4;425;153;43;14;7.977;29.864;0.389;41.342;14.883;4.183;1.362
2890301021;28;1;21;92;195;1;264;94;27;5;13.569;28.761;0.147;38.938;13.864;3.982;0.737
2890301022;28;1;22;103;144;0;327;69;35;10;14.971;20.93;0.0;47.529;10.029;5.087;1.453
2890301023;28;1;23;142;170;3;454;113;40;22;15.042;18.008;0.318;48.093;11.97;4.237;2.331
2890301024;28;1;24;196;392;6;347;190;55;27;16.158;32.317;0.495;28.607;15.664;4.534;2.226
2890301001;28;1;1;106;326;5;542;137;50;24;8.908;27.395;0.42;45.546;11.513;4.202;2.017
2890301002;28;1;2;98;258;1;428;154;24;12;10.051;26.462;0.103;43.897;15.795;2.462;1.231
2890301003;28;1;3;99;301;0;445;165;23;11;9.483;28.831;0.0;42.625;15.805;2.203;1.054
2890301004;28;1;4;101;145;3;489;94;27;21;11.477;16.477;0.341;55.568;10.682;3.068;2.386
2890301005;28;1;5;72;315;7;413;159;40;13;7.066;30.913;0.687;40.53;15.604;3.925;1.276
2890301006;28;1;6;112;416;2;478;202;45;19;8.791;32.653;0.157;37.52;15.856;3.532;1.491
2890301007;28;1;7;140;283;6;418;128;56;21;13.308;26.901;0.57;39.734;12.167;5.323;1.996
2890301008;28;1;8;97;278;8;524;151;56;20;8.554;24.515;0.705;46.208;13.316;4.938;1.764
2890301009;28;1;9;116;353;3;341;195;34;11;11.016;33.523;0.285;32.384;18.519;3.229;1.045
2890301010;28;1;10;106;384;9;308;255;47;10;9.473;34.316;0.804;27.525;22.788;4.2;0.894
2890301011;28;1;11;60;352;4;125;104;35;7;8.734;51.237;0.582;18.195;15.138;5.095;1.019
2890301012;28;1;12;74;224;8;269;96;43;9;10.235;30.982;1.107;37.206;13.278;5.947;1.245
2890301013;28;1;13;136;189;3;500;130;37;17;13.439;18.676;0.296;49.407;12.846;3.656;1.68
2890301014;28;1;14;113;226;6;446;118;29;16;11.845;23.69;0.629;46.751;12.369;3.04;1.677
2890301015;28;1;15;94;205;3;377;125;31;11;11.111;24.232;0.355;44.563;14.775;3.664;1.3
2890301016;28;1;16;121;265;8;380;169;35;7;12.284;26.904;0.812;38.579;17.157;3.553;0.711
